Глубина манометра,Dшт,Руст,Pлин,Рлин,Туст,Тна шлейфе,Тзаб,Tлин,Дебит газа,Дебит кон нестабильный,Дебит воды.1,Нэф,Рпл. Тек (Карноухов),Pсб.1,Удельная плотность газа ,G_total,КГФ
39,3572.0,9.53,237.1,105.9,103.8,31.0,,104.7,38.5,304.63,122.1,0.0,30.0,51.7,93.56,0.662,,251.0
35,3653.0,9.53,298.57,111.38,111.61,64.0,32.0,104.42,42.44,366.22,184.3,1.5,63.6,52.7,87.64,0.684,4.59,254.84
23,3653.0,12.7,202.15,97.88,92.46,54.0,35.0,105.22,35.41,473.78,245.0,0.8,63.6,56.8,97.9,0.654,5.73,255.68
38,3572.0,6.35,251.29,106.0,114.7,25.0,,104.9,26.5,148.2,98.2,0.0,30.0,51.7,93.56,0.662,,270.0
30,3650.0,12.7,299.56,103.11,105.98,74.0,103.6,105.47,51.38,654.56,354.6,4.7,63.6,55.2,92.57,0.6822,8.4,280.56
29,3650.0,9.53,325.84,97.79,98.18,66.0,95.5,105.49,40.51,402.79,218.9,2.2,63.6,55.2,84.38,0.6822,5.17,282.24
32,3650.0,15.87,256.21,109.78,109.39,75.0,110.2,105.36,55.51,846.82,469.6,8.1,63.6,55.2,86.55,0.6822,10.93,284.08
34,3650.0,11.11,297.68,100.13,102.25,70.0,,105.37,44.88,497.16,274.0,3.3,63.6,55.2,87.05,0.6822,6.42,287.52
2,3576.3,9.53,233.5,101.3,102.4,58.8,37.6,103.0,38.6,290.59,158.5,1.4,56.8,,91.69,0.6694,3.7,288.6
33,3650.0,14.29,271.47,108.63,108.64,74.0,,105.35,53.13,720.27,401.1,6.1,63.6,55.2,95.04,0.6822,9.33,289.18
31,3650.0,14.29,280.33,107.06,106.77,75.0,106.8,105.42,52.76,742.11,421.6,6.4,63.6,55.2,91.09,0.6822,9.64,292.24
28,3650.0,7.94,337.11,91.05,89.43,60.0,90.3,105.6,31.18,287.95,163.0,0.5,63.6,55.2,88.43,0.6822,3.72,294.59
22,3653.0,9.53,272.69,89.65,86.75,48.0,21.0,105.32,22.03,375.37,238.3,1.0,63.6,56.8,98.4,0.654,4.71,295.5
21,3653.0,7.94,323.1,108.89,99.17,37.0,14.0,105.42,16.2,310.78,492.8,2.5,63.6,56.8,98.1,0.654,4.23,385.42
